2014-11-28 18:30:25
Student List:
Visual: 		 lambda:0.91 <0, 0, 0, 0, 0>	probability: 0.200000
Non-Visual: 	 lambda:1.28 <0, 3, 0, 1, 1>	probability: 0.400000
Independant: 	 lambda:1.08 <2, 2, 0, 1, 0>	probability: 0.200000
Dependant: 		 lambda:0.89 <1, 2, 1, 1, 1>	probability: 0.200000
Running sequential-halving algorithm bounded by 100000 pulls...

--- Sequential Halving ---
ARM: <1, 4, 1, 1, 1>	CONFIGMU: 0.607343	DELTA: 0.106358
ARM: <2, 0, 0, 0, 0>	CONFIGMU: 0.390176	DELTA: 0.323525
ARM: <2, 0, 0, 0, 0>	CONFIGMU: 0.390176	DELTA: 0.323525
ARM: <2, 0, 0, 0, 0>	CONFIGMU: 0.390176	DELTA: 0.323525
ARM: <2, 0, 0, 0, 1>	CONFIGMU: 0.380158	DELTA: 0.333543
ARM: <2, 0, 0, 0, 1>	CONFIGMU: 0.380158	DELTA: 0.333543
ARM: <2, 0, 0, 0, 1>	CONFIGMU: 0.380158	DELTA: 0.333543
ARM: <2, 0, 0, 1, 0>	CONFIGMU: 0.491374	DELTA: 0.222327
ARM: <2, 0, 0, 1, 0>	CONFIGMU: 0.491374	DELTA: 0.222327
ARM: <2, 0, 0, 1, 0>	CONFIGMU: 0.491374	DELTA: 0.222327
ARM: <2, 0, 0, 1, 1>	CONFIGMU: 0.544703	DELTA: 0.168998
ARM: <2, 0, 0, 1, 1>	CONFIGMU: 0.544703	DELTA: 0.168998
ARM: <2, 0, 0, 1, 1>	CONFIGMU: 0.544703	DELTA: 0.168998
ARM: <2, 0, 1, 0, 0>	CONFIGMU: 0.376522	DELTA: 0.337179
ARM: <2, 0, 1, 0, 0>	CONFIGMU: 0.376522	DELTA: 0.337179
ARM: <2, 0, 1, 0, 0>	CONFIGMU: 0.376522	DELTA: 0.337179
ARM: <2, 0, 1, 0, 1>	CONFIGMU: 0.369440	DELTA: 0.344261
ARM: <2, 0, 1, 0, 1>	CONFIGMU: 0.369440	DELTA: 0.344261
ARM: <2, 0, 1, 0, 1>	CONFIGMU: 0.369440	DELTA: 0.344261
ARM: <2, 0, 1, 1, 0>	CONFIGMU: 0.474796	DELTA: 0.238905
ARM: <2, 0, 1, 1, 0>	CONFIGMU: 0.474796	DELTA: 0.238905
ARM: <2, 0, 1, 1, 0>	CONFIGMU: 0.474796	DELTA: 0.238905
ARM: <2, 0, 1, 1, 1>	CONFIGMU: 0.529376	DELTA: 0.184325
ARM: <2, 0, 1, 1, 1>	CONFIGMU: 0.529376	DELTA: 0.184325
ARM: <2, 0, 1, 1, 1>	CONFIGMU: 0.529376	DELTA: 0.184325
ARM: <2, 1, 0, 0, 0>	CONFIGMU: 0.398780	DELTA: 0.314921
ARM: <2, 1, 0, 0, 0>	CONFIGMU: 0.398780	DELTA: 0.314921
ARM: <2, 1, 0, 0, 0>	CONFIGMU: 0.398780	DELTA: 0.314921
ARM: <2, 1, 0, 0, 1>	CONFIGMU: 0.398031	DELTA: 0.315670
ARM: <2, 1, 0, 0, 1>	CONFIGMU: 0.398031	DELTA: 0.315670
ARM: <2, 1, 0, 0, 1>	CONFIGMU: 0.398031	DELTA: 0.315670
ARM: <2, 1, 0, 1, 0>	CONFIGMU: 0.519306	DELTA: 0.194395
ARM: <2, 1, 0, 1, 0>	CONFIGMU: 0.519306	DELTA: 0.194395
ARM: <2, 1, 0, 1, 0>	CONFIGMU: 0.519306	DELTA: 0.194395
ARM: <2, 1, 0, 1, 1>	CONFIGMU: 0.584625	DELTA: 0.129076
ARM: <2, 1, 0, 1, 1>	CONFIGMU: 0.584625	DELTA: 0.129076
ARM: <2, 1, 0, 1, 1>	CONFIGMU: 0.584625	DELTA: 0.129076
ARM: <2, 1, 1, 0, 0>	CONFIGMU: 0.384965	DELTA: 0.328736
ARM: <2, 1, 1, 0, 0>	CONFIGMU: 0.384965	DELTA: 0.328736
ARM: <2, 1, 1, 0, 0>	CONFIGMU: 0.384965	DELTA: 0.328736
ARM: <2, 1, 1, 0, 1>	CONFIGMU: 0.386897	DELTA: 0.326804
ARM: <2, 1, 1, 0, 1>	CONFIGMU: 0.386897	DELTA: 0.326804
ARM: <2, 1, 1, 0, 1>	CONFIGMU: 0.386897	DELTA: 0.326804
ARM: <2, 1, 1, 1, 0>	CONFIGMU: 0.501783	DELTA: 0.211918
ARM: <2, 1, 1, 1, 0>	CONFIGMU: 0.501783	DELTA: 0.211918
ARM: <2, 1, 1, 1, 0>	CONFIGMU: 0.501783	DELTA: 0.211918
ARM: <2, 1, 1, 1, 1>	CONFIGMU: 0.568036	DELTA: 0.145666
ARM: <2, 1, 1, 1, 1>	CONFIGMU: 0.568036	DELTA: 0.145666
ARM: <2, 1, 1, 1, 1>	CONFIGMU: 0.568036	DELTA: 0.145666
ARM: <2, 2, 0, 0, 0>	CONFIGMU: 0.410081	DELTA: 0.303620
ARM: <2, 2, 0, 0, 0>	CONFIGMU: 0.410081	DELTA: 0.303620
ARM: <2, 2, 0, 0, 0>	CONFIGMU: 0.410081	DELTA: 0.303620
